Patient	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS	MHC-II	MHC-I
Patient154	2703.13669	4678.61317	5587.851124	6694.408218	2754.528241	6242.864357	2064.268907	5966.436719	5331.919111	5586.994645	4760.724058	6504.735969	3809.983832	3133.10149	6102.485755	3765.542205	7729.706236	5394.522736	4883.061479	4844.291649	999.464362	2705.529736	4196.263837	6815.711098	5521.364128	6626.363708	4864.571152	8187.685367	5227.155861	6798.178023	627.9717913	3186.581371	5389.614878	7736.630457	3818.412543	6361.069107	4673.592389	-3008.45051	3957.316372	6965.766882	5226.444414	4429.72249	3461.419891	3222.143131	2072.408331	4563.27739	2195.444295	-583.9956921	5836.321139	2766.527519	-3069.79362	-1855.05335	5296.861902	8481.974445
Patient155	4186.176442	4917.271332	6269.883213	6855.63317	3336.57046	6524.983923	3126.623933	6843.070513	6659.047618	5991.895109	5042.305256	6317.369091	4141.175232	3974.983785	6414.866653	2477.693521	7635.001892	7474.104487	6483.950615	4389.884231	1925.403585	1643.143303	4909.70069	7498.460907	6093.054008	7347.878437	6676.476698	8862.746609	6521.722256	5946.64381	1562.846387	3288.218083	5425.701771	8326.680983	4717.251396	6854.75509	5672.378223	-1091.827975	4861.8638	5953.691774	4616.349201	4417.707748	4068.316549	4134.297921	1746.573988	5056.683334	3071.326827	-453.2306268	4569.630742	2418.573216	-2151.057526	-1884.269583	6710.26852	9533.609095
Patient156	3721.456429	5092.533534	6145.655184	6824.63087	3437.884151	6132.324446	2857.778356	6396.786127	6721.349341	5816.103265	5404.155196	6574.220414	2953.580595	2290.523049	6162.307908	2570.259392	7658.263254	5701.684978	5131.261849	3892.439762	1727.330243	1602.268307	4478.894746	7850.76213	5347.91745	7646.364245	6459.115375	8687.438453	6807.022027	6857.511099	1688.944488	3082.932637	4733.689362	8327.553761	4681.803957	6916.777899	4451.420258	-1084.686922	5228.815798	6313.502719	6504.165586	4853.641829	3723.109109	4023.098318	850.0766782	4787.084576	2624.386097	-320.0833011	6830.730978	2300.402739	-4530.328239	-2341.53415	4265.418549	9243.656358
Patient158	2766.045604	4239.838885	5255.245764	7186.471723	3158.249512	6181.512604	2167.828061	6824.041292	7486.146086	5544.036782	4274.607813	5841.593738	1229.942454	883.8221172	5446.789229	1723.36071	6981.807924	4696.374138	4584.213215	3123.477401	253.6011594	3334.144841	3500.817139	7601.811621	5429.726497	7603.8831	7607.416027	9159.231041	7479.806224	5126.084983	191.5555601	2380.63384	4434.166929	8095.562939	4364.782482	6810.56052	3972.440547	-1615.961219	4333.300816	5949.262035	3655.32168	3582.937331	1390.616181	2756.923452	441.7876055	4519.275425	3064.570252	268.5735171	4978.440237	924.2961644	-4054.144072	-1153.531792	7166.830336	8409.78262
Patient159	5538.71115	4879.066839	6065.322511	7299.844091	3260.08739	6939.171188	3735.985934	6658.063531	7056.859815	6116.451465	4910.56417	5850.905202	3182.961851	2549.024029	6360.315027	2438.411674	7478.227429	5677.938002	5418.420056	3903.163188	840.7380718	1863.73642	4309.546936	7592.52342	5912.168549	7485.379378	7053.561584	8864.489177	6984.906678	5982.95264	1984.886013	2495.077178	4368.117548	7959.822063	4566.961843	6633.6494	4867.622991	-1226.604852	5189.342682	6415.947534	5474.006681	4896.837943	2587.703611	4091.750599	869.3757475	4448.301824	3454.067473	275.0062462	6104.865415	2457.170051	-3647.695364	-653.6032804	6731.062564	9109.751961
Patient15	3497.294457	3479.774961	5476.160503	7030.60148	2131.585582	6096.618212	3611.071186	5928.927279	6497.875273	5657.481803	4014.353125	5710.601355	2699.330212	2403.124702	5647.261129	1185.090848	7529.922236	6414.010247	5874.445733	3270.708503	995.6515836	2913.045493	3962.392604	7110.72532	5906.230103	7017.981802	6510.615564	8560.386153	5937.250057	4192.758686	1185.607138	2301.127365	4521.591962	8037.553199	3437.597753	6356.760649	4687.874994	-1963.539718	4069.188069	6032.727787	3337.656051	4220.928796	1739.761589	3845.476749	740.4906318	4347.732916	4043.403477	337.1864642	5031.336754	1553.120677	-3478.216077	-1610.723206	7688.987236	8729.813896
Patient162	2778.721936	3924.831291	5487.350067	7010.04644	2826.849927	5542.300849	2407.430217	6273.179352	6444.947229	5643.282697	3966.877201	5885.764026	2086.15012	1156.71648	5838.211161	1010.220252	7758.868965	6960.482941	6120.984908	2783.582716	1462.256634	2143.287313	3790.182733	7235.79204	5611.594806	7320.389115	6089.520814	8577.394339	6229.992294	3257.280864	448.8699008	2273.872463	4574.759938	7988.282812	3666.123192	6503.142231	4164.064866	-1708.175724	4224.881166	5933.05689	2089.792857	4280.40099	2246.966236	3089.11002	839.9994861	4209.388626	3130.624439	-142.2063101	5312.038075	829.9177576	-4482.120317	-599.9271282	6839.851306	9632.669508
Patient163	1840.585777	3176.861854	4392.619059	7392.5498	4037.61896	6599.527461	1324.388486	6253.95641	7191.080567	5133.486133	4204.513426	5557.661276	1299.377054	1208.964193	5493.900336	2218.756906	7217.952216	4537.901016	4115.744427	3418.135141	-336.6930353	4244.094198	3171.567113	7155.597493	5602.507905	6821.586996	7209.037886	8775.883872	6199.253994	5412.194542	-775.9030547	1806.069864	3853.259241	7622.165574	3461.382582	6233.279535	3228.06107	-1882.150976	4384.911153	6267.062129	3602.500574	3283.011107	1191.360707	2146.136292	854.0325385	4121.017355	2197.415979	650.6282691	4831.014545	1486.372733	-3344.641812	-678.4854282	6773.138383	8084.174886
Patient165	4172.349172	4482.06139	6288.034557	7240.704562	3169.39431	6196.241544	3767.129171	6690.452858	7267.45653	6048.096604	4413.676996	6186.923991	2308.137036	2327.545375	6261.06433	1246.916703	7737.881371	6038.202558	5629.46082	3400.418069	1446.398245	2546.551887	4871.086965	7846.425744	5726.492435	7816.313459	7240.870097	9080.977489	7140.715186	5927.307491	1868.960295	2701.271684	4754.636166	8463.335863	4427.070584	6978.032807	4212.675658	-1130.328217	4866.373001	5996.701218	5272.732027	4037.842489	3258.92958	3883.935366	70.77238578	4041.739205	3410.17596	234.1004439	6743.376225	2192.072737	-4551.303488	-1593.657617	5109.462022	8195.934118
Patient166	3500.205084	4830.096431	6152.28762	7034.627887	3424.890706	6273.104615	2595.215265	6743.788335	6735.206146	5464.275538	4735.512892	5852.464097	2570.104309	1973.666294	6329.122045	1811.937438	7525.592256	6068.140106	4610.950761	3506.517918	785.0671454	1501.895759	3485.238861	7758.455524	5431.827939	7606.601874	6804.138618	8957.719502	6700.465253	5107.180543	186.3785056	2508.032986	4811.861312	8174.890264	4379.148202	6566.627536	4462.820873	-1211.161374	4714.626551	5925.787924	3813.428791	3930.614486	2807.490254	3435.680956	1338.621852	4396.914254	1265.51513	730.0635774	4662.78418	880.0477488	-3782.736431	-792.2875957	-85.73194863	8687.209666
Patient167	4024.771478	4776.584236	6116.516174	6861.952138	4071.48616	6501.545191	3976.012542	6509.14006	6552.984342	5862.967548	5211.850327	6064.183761	3365.410624	2489.083432	6090.500658	2512.950316	7772.833074	6582.390292	6143.425566	3878.76488	1138.607635	3185.322627	5224.713739	7669.452624	5985.392885	7343.863801	6347.333178	8604.261299	6404.147802	4766.751451	1779.404195	3008.134623	4975.617887	8176.305866	4614.572533	7129.804871	4803.85896	-858.2840863	5116.210516	5974.494602	3664.590974	4430.670942	3568.124448	4446.316833	1726.398005	5052.381816	3794.959229	583.2411257	6641.699038	2898.133082	-3743.565956	-168.2304768	8055.31936	9688.100446
Patient168	2963.155483	5090.253041	5839.846773	7056.692441	2732.672423	6120.797694	2404.347627	6525.444201	7095.842662	5441.194069	5215.462852	6165.477212	3012.322841	2310.52691	6383.493319	2061.174088	7837.676422	4807.405339	4298.404512	3486.937904	2145.204732	3156.001738	4074.378719	7738.26087	5609.359617	7705.240423	7050.87632	8865.137395	6527.281375	5214.324316	256.8110607	2572.220399	4764.86359	8606.861495	4848.233682	6997.990306	4172.154537	-1169.330185	4785.741827	5955.072012	4709.314186	4201.5459	2548.07196	3501.954169	682.3363125	4811.611528	2185.444517	797.7927822	5355.464643	1091.361583	-4264.10306	-316.6150785	2329.878176	7813.080704
Patient169	3607.848983	3567.604465	5727.074058	6943.721807	2129.58436	5901.130242	3959.330049	6885.052537	6989.134096	5762.502045	3995.590016	6178.306206	3374.912165	2896.919931	6037.599722	1648.807116	7697.90358	6463.182737	5930.370974	3632.513315	1009.85469	1790.990997	4443.806628	7237.146335	5936.548556	7347.611768	7212.769398	9058.946112	6884.409861	4194.542908	1810.054241	2628.637082	5282.339061	8374.592335	3624.026484	7023.058527	5133.68967	-1425.017698	4391.354375	5816.372073	2260.965488	3783.182324	2331.622317	4354.829149	1367.564357	4302.032457	4505.092055	277.3626916	5700.130032	2034.146398	-3665.983634	-2233.584891	8591.019977	8948.96683
Patient170	4380.53158	4724.853235	5942.79909	7064.316747	3658.178479	6779.511041	3076.648437	6515.490746	6828.471728	5976.980319	4928.543478	6197.733617	3795.939457	3360.288054	6047.094808	2757.532516	7642.059223	6661.980064	5939.447447	3906.490502	2242.865722	2440.236273	4672.352791	7209.708155	6021.26417	7039.569729	6831.799349	8620.250609	6319.031328	5432.960745	1895.631645	3082.038762	5102.964169	8077.302738	3964.33385	7005.002152	5339.116907	-1478.504481	4712.390468	6190.894949	5007.269754	4282.550106	3520.462475	4011.324664	1926.084092	4623.895486	3398.96485	-561.600762	4955.130605	2100.590302	-2854.540303	-2483.295562	8108.350163	9435.711193
Patient172	4648.037826	4746.25402	6003.904202	7243.848384	3093.260123	6513.454679	4599.245989	6169.215201	6153.903665	6338.796932	4678.773668	6409.476122	4278.458053	3738.93594	6080.993766	2684.095398	7641.71351	7201.706268	6637.786918	4689.480379	3025.817581	3122.42139	5508.089644	6946.178591	6326.981851	6932.17464	5834.493566	8533.540646	5618.448315	6197.498336	2901.086651	3592.992153	5245.417028	7838.682925	3954.578783	6959.846149	5580.585633	-2301.081643	4545.819577	6846.90122	4168.852956	4680.967791	3628.107249	5172.48411	1568.841151	4398.988768	5411.031474	-745.5843348	6317.642068	3366.173609	-2951.468458	-2005.15098	8708.444743	9591.207694
Patient173	3694.388024	4494.368459	6197.331452	7090.274511	3283.202299	6031.631208	3583.95194	6512.783459	7142.490824	5574.735416	4283.323336	6117.833977	2483.463194	2107.80849	5982.853741	1707.645104	7748.073813	6312.307669	5492.899853	3143.429926	1447.5766	2236.760697	4499.788219	7425.913778	5838.465015	7211.244071	7126.247098	8746.174878	6353.637139	4844.289076	1333.435904	2633.886476	4370.092144	8284.276102	4496.799575	6588.994541	4492.635903	-1368.17834	4739.97109	6108.149431	4817.119526	4545.47172	2902.025071	3290.000061	755.5300063	4565.368455	2628.775855	593.2720364	5586.143642	1676.583404	-3909.560238	-1309.752035	4457.291253	9255.694075
Patient179	2817.35683	3256.210263	4795.451527	6935.216815	2712.588518	5202.260875	-26.55845685	6505.911331	6679.944957	4491.79755	3399.665645	5389.718851	1385.393062	718.724495	5448.740053	931.9182985	7265.129493	4014.753867	2883.616143	2602.115232	179.1273122	3476.723428	2749.054428	7464.539376	5352.719278	6971.83022	7080.303882	8915.441695	7157.911915	2308.522864	-1351.972611	1562.734163	4565.181764	8102.073215	4262.124861	6114.459932	3626.972704	-405.9675187	4446.447745	4852.415264	460.329566	4104.184847	525.2091317	1916.044628	776.65697	4141.911883	493.0914436	217.5821212	3199.092193	-438.959043	-3638.051236	-529.0836858	-920.2570478	8877.337322
Patient17	4757.247802	4835.829296	6069.795069	6996.277932	3329.258953	6486.62051	4573.947873	6556.805214	6764.215902	6161.858317	5152.539033	6187.120644	3253.254754	2574.233395	6182.179202	2783.951137	7487.857234	7205.810528	6631.411454	3964.462693	1772.051979	3047.175104	4921.552837	7489.410944	5713.800396	7480.461087	6594.310468	8670.550756	6556.636	5730.942015	2629.81053	2751.908254	4854.442684	8093.461143	4813.561791	6775.922922	4911.527937	-795.5237884	5171.9338	5967.457588	5061.609403	4559.23425	3280.74223	4664.691455	1252.085314	4646.579496	4882.980431	-499.6026306	7083.09152	3076.96301	-4006.12851	-2388.405601	7766.089912	9794.575578
Patient181	4241.901033	4383.604245	6033.334649	7266.322795	3069.334007	6681.927358	4507.301093	6068.987384	6743.619972	6582.927855	3466.572223	6395.867307	3187.338662	2679.377212	6465.813095	2632.475354	7768.150519	7436.432733	6644.794811	4453.78927	1556.074587	2980.898071	4922.273336	7123.967605	5656.480923	7092.00828	6573.954965	8505.405641	5886.307711	6204.328929	2416.195325	2765.700312	5171.173636	7620.207729	3886.149003	6582.427158	4956.319737	-2035.983124	4404.728499	6440.711622	4750.710704	4233.549106	3709.82819	4670.269269	1423.496784	4645.998861	4438.256474	-426.9234472	5911.771824	2879.159354	-3032.61247	-1342.127469	7290.593457	9515.864304
Patient183	3444.389959	3370.462189	4975.538395	6575.058542	2117.612689	5637.018246	3288.298295	5433.212087	6022.123295	5724.51063	3331.625553	5881.526107	2574.126947	2809.890496	5985.258569	2042.639383	7454.987243	6184.862271	5758.966832	3603.725824	1256.078496	1523.266841	4349.553309	6741.574627	5914.573895	6722.711329	5589.180168	8311.467471	5852.839126	4659.506772	1428.100054	2794.040833	4789.415291	7794.142638	3054.320268	5872.382801	3850.564225	-1795.794699	4001.704927	5797.499627	3018.150884	4691.299365	2762.47967	2818.29081	1602.373372	4056.083187	4404.260222	-994.2552202	5384.939881	2433.101625	-2951.838255	-73.28812069	7929.537196	9184.377245
Patient184	3488.860231	5260.183391	5225.201098	6442.471818	3924.465639	6947.28567	3030.502109	5856.420112	5865.703547	6000.351256	4379.331983	6121.266956	2989.974424	2588.513816	5588.494584	5709.115111	6593.677445	5922.118695	5118.023944	4345.23758	998.0961509	3912.241966	4366.55622	6959.661506	5238.842772	6486.837843	5795.984901	8196.579773	6002.002732	6132.780169	1438.6967	3146.275237	4771.465432	7652.980146	4612.530005	6264.344346	5031.500972	-626.7650247	4742.510649	5369.275673	3963.292773	4211.218833	3870.125099	3598.355965	2050.060699	4583.485395	2885.045596	-463.2791429	4244.149374	1537.740678	-2706.408696	-922.0743334	8016.41492	9350.827229
Patient185	3562.044213	4811.394569	6447.649753	7117.08297	3539.069525	6663.174914	3082.656138	6368.603303	6811.757083	6143.972038	5255.742439	6577.959892	3691.371513	3381.465226	6476.828699	3053.756593	7354.550652	6143.707875	5519.842246	4033.56969	2236.651578	2170.390544	4927.095803	7236.131058	6030.997871	7274.550309	6652.674377	8694.254146	6145.236973	5775.131219	890.0889897	3176.308954	5161.888675	8093.402927	4113.715329	6768.656812	5333.00589	-1669.44971	4695.281729	6364.731439	4375.059934	4019.509836	3814.107372	4295.219322	1771.003162	4633.340896	3256.109026	-80.28153333	4990.987617	2002.952035	-2988.035582	-1437.630236	6842.478846	8999.818142
Patient187	3129.844746	4260.720408	5884.756978	6878.583054	2409.856265	5593.949892	3536.333043	6540.499663	6492.5272	5898.81851	4458.057303	6321.071758	2501.426541	1982.359622	5795.550272	1994.284488	7713.283202	6808.546325	6086.040555	3511.766855	887.0672598	1714.268284	4531.933859	7330.19833	5516.357285	7320.37487	6491.566651	8696.473356	5926.148559	5631.404159	1843.362941	2895.899312	4938.013009	8270.338371	4041.941334	7037.091033	4110.35412	-1726.292808	4357.19635	6083.489158	4601.905707	4569.109675	3212.902892	3669.160203	1896.532351	4640.726239	3658.060184	-77.61486176	6095.937369	1794.41603	-4301.521339	-1060.616673	8155.927305	9502.08631
Patient188	2328.163954	3843.001592	4894.256834	7172.77231	2201.154801	6348.202895	1679.244912	6847.659624	7438.233413	4948.828193	5016.642782	5756.89108	1292.474339	1003.764686	5305.10373	2094.376935	7431.231923	4420.112157	3912.198856	3216.37325	191.7358417	1734.951391	3188.9013	7514.815454	5060.893965	7022.541506	7452.807218	9143.574351	7521.282088	5665.694572	-576.5413142	1868.334536	4197.887644	8006.817111	4139.772568	6120.645815	3189.468148	-2082.670091	4113.720085	6196.390176	3682.567487	3455.083321	1787.740958	2275.979183	421.5147863	3953.35989	1287.478701	-128.4191563	4582.923036	535.6953403	-4047.227695	-2160.107582	3006.414912	7426.531148
Patient18	3385.176519	4329.10224	5383.924646	6913.88481	3091.90214	5620.298206	2303.173549	6712.93621	6942.278178	5633.93213	3749.74913	5883.048272	1741.963464	787.9469203	5531.56882	1206.930288	7502.572612	6432.880018	5507.559399	2763.193125	148.882801	1561.058649	3682.016127	7325.918747	5270.23253	7418.279611	7011.057196	9006.007592	7006.185008	4337.096791	767.2023293	2121.61992	4457.954307	8174.058287	4243.574777	6828.732922	4206.537364	-1478.763372	4074.178159	5552.941531	4468.140386	3984.381163	2230.026119	3303.29103	1075.783683	4374.741154	2421.229879	-330.7525685	4752.864341	508.0556121	-4244.808729	-1218.22912	6216.95682	8683.709744
Patient1	1567.02173	3251.592791	4800.77562	6629.868739	2437.336849	5444.063228	1852.232773	6224.002287	6050.687124	5155.385145	4076.137642	6228.094306	2080.243766	1645.652874	5667.312985	1172.115919	7334.719676	5992.891471	4737.167058	2529.156808	1560.576329	2128.309423	3256.336607	7166.616795	5423.659343	6871.351929	6132.847765	8823.017226	6592.268949	2345.840357	-439.5846157	2155.164466	4834.017205	8304.382456	3874.548451	6648.639597	3614.134782	-1379.024267	4123.928344	5502.95261	2094.074681	4167.156242	1233.749181	2640.492372	767.2935249	4551.836628	2389.754802	41.03821129	4024.098414	242.5543345	-3781.544079	-185.9103147	6293.852766	9142.030678
Patient20	6413.790049	5651.724405	6484.656495	7318.318828	3059.993001	7142.403836	5640.820783	6609.037065	6986.265301	6970.302881	4898.508192	6285.211706	2904.722729	2441.262956	6279.959467	1991.095156	7740.049305	7524.917206	7226.701361	4256.021749	1362.194935	2902.183174	5722.919792	7585.547648	5770.670564	7890.13318	6905.408661	8764.921187	6056.813584	7259.597	4554.867113	3139.27366	4816.180066	7939.82427	4918.291979	7429.22882	5573.824565	-2000.036433	4944.130831	6944.167264	5780.618144	4039.23854	3216.878826	5176.62371	851.0982957	4330.95021	5424.007956	-477.7939177	8533.316177	3827.680572	-4705.635604	-1721.142155	8138.191428	9637.539209
Patient21	3377.673848	4225.942898	5974.925939	7043.420909	3668.732177	5878.934349	2467.845534	6917.41059	6975.165155	5482.338123	5243.104966	6371.417957	2647.426736	1797.6147	5913.596167	1599.805565	7760.653785	5612.715848	4803.616306	3157.756945	913.74156	1618.372764	3899.634657	7631.681595	5758.504164	7658.670294	6881.503241	8954.664601	6912.308436	3893.984848	414.5293424	3280.611731	5287.286285	8567.238455	4159.45689	7156.631754	4220.20701	-556.3850454	4799.577756	5355.962802	3294.640097	4167.19987	2203.467918	3397.759395	976.9263884	4998.614786	2242.371849	123.8292821	4624.155134	123.7372952	-4500.417839	-829.4403009	4081.23051	8872.584551
Patient22	2668.193634	3776.81669	5926.16214	7023.369139	4088.652848	6434.243584	921.2420614	6700.584032	6588.158218	5376.251456	5521.817248	6470.075914	2385.89056	2089.041212	5901.786442	2120.644666	7541.02143	4103.291075	3385.524164	3233.530066	1301.160958	2997.029834	2960.878685	7285.443567	5866.745141	7245.105374	6440.510736	8782.960661	6503.46019	4677.675321	-451.2509769	2594.823085	5289.47376	8475.042435	4044.047004	7204.269173	4178.153385	-1541.359093	4412.825297	5954.18439	3235.023365	4084.131712	2142.241818	2726.245434	1435.859531	4464.86795	831.4598619	-516.1681296	4359.010748	67.24023984	-4291.770508	-2009.32505	2556.64565	7722.709797
Patient23	2996.192134	4184.498726	5078.407268	7042.16807	3978.836683	6904.879267	1538.287512	6534.11919	6719.709701	5717.180582	4743.295765	5782.552599	2367.678423	1226.201582	6069.116701	2260.444163	7481.502736	4812.988583	3980.288913	3401.3645	532.8260138	2891.757241	3946.033296	7170.156766	5571.263055	7007.258913	6616.100473	8758.067142	6469.838453	6119.826801	370.4201669	2202.122719	4373.520567	7925.8891	3632.401788	6636.729055	4105.763706	-2461.925152	4165.489482	6627.414635	4034.281764	3827.632292	2850.043937	3552.755274	530.9337572	4173.041944	1759.334256	-895.8137427	5493.814337	1238.431975	-4255.382363	-2309.979897	4350.734403	7600.603222
Patient24	4168.975563	5125.972734	6210.682271	6774.837066	4403.291256	6364.687047	3826.506031	6521.426417	6281.880782	6095.114895	5468.155752	6472.325435	3004.033525	2224.830967	5446.159942	3059.902601	7124.377905	4848.956144	4535.335716	3834.331976	41.44401865	3304.741214	3852.029357	7206.414478	5175.755502	7207.217176	6334.412477	8371.799001	6720.752276	6151.592275	1039.488613	2933.867039	5090.353861	7838.920951	5048.219711	6625.785228	4906.583889	-941.2811321	5301.142722	6242.423854	4805.422172	3845.603008	2724.680615	3455.573862	1648.259795	4189.162206	2026.711599	-102.6406277	5080.048823	1476.104126	-3603.944697	-1018.951463	3948.976151	9017.935018
Patient25	3512.72078	4106.570956	5817.322234	7132.467709	3831.911872	6415.980489	3084.133599	6106.361766	6544.39939	5944.261597	5402.696859	6359.44356	3462.708328	2808.579071	6105.214412	2996.67381	7787.361996	6117.3909	5458.393965	4197.89432	1829.614746	3063.223883	4508.960377	7095.9065	5801.281525	7021.401957	6302.624458	8477.028098	5927.389715	5824.940736	1659.442075	2888.290701	5115.360546	7931.022207	3698.508399	6816.29921	5060.212011	-2210.305489	4435.352939	6645.658428	4545.053049	4391.420691	2746.411695	4497.670251	1512.197674	4466.703731	3484.299052	-754.7417494	5388.194943	1836.835831	-3551.359112	-2093.002537	7729.29051	8947.858496
Patient27	3388.38511	3228.734511	5393.479242	7326.555126	3000.795425	5924.286466	2881.51778	6084.806661	7120.561632	5390.804958	3209.73354	5557.605128	2030.274202	1434.274183	5760.185956	850.7719145	7518.475836	6597.230845	5828.997598	2549.679371	802.8885104	743.8212656	3831.303751	7025.11734	5785.134769	7203.560748	7075.90741	8653.626068	6419.71662	3374.801437	954.8002805	1778.901706	4301.966848	7752.517606	2952.693838	6314.776982	3688.173677	-1823.043729	3936.619976	5759.663705	1444.563158	4409.733647	1542.826785	3636.051287	935.3659876	4306.214018	4008.255498	476.6102399	5519.575336	1601.698201	-3917.877135	-1837.178361	6979.678481	8838.221348
Patient30	4097.611611	2755.291032	5505.223528	6794.907047	2479.576632	5763.177263	4054.597699	5664.547551	6443.698741	6038.929178	3214.940458	4958.386622	1247.086674	1062.433902	6116.738346	627.5388172	7035.726916	7079.078933	6604.809264	2369.394109	79.98258694	2216.831054	4131.487035	6760.253684	5321.656335	6677.981557	6170.587526	8232.118608	5591.334896	3267.277942	2174.802211	2097.614196	3999.874282	7455.84375	3128.660293	6089.308415	4019.020121	-2023.775954	3407.725157	5431.501111	2610.035346	3780.198396	1387.767995	3204.685708	1203.931912	3731.112891	4560.093931	-314.5657925	6233.464079	2056.825574	-4176.638505	-2645.057988	7737.950076	9168.691371
Patient31	3169.873147	4176.223298	6224.887375	6951.296644	2827.303895	6066.43247	2421.150831	6699.076497	6308.887568	5528.36488	4848.693664	5921.281	2474.379632	1489.108762	5525.047508	1884.170965	7539.799043	5942.711804	5079.655039	3002.164566	2400.356581	1712.780896	3405.959646	7590.77863	5451.019776	7349.180895	6242.084404	8748.14792	6785.448012	4477.037635	396.7724701	2341.728064	4532.617213	8091.596421	4040.160515	6540.919678	4519.092011	-1421.898141	4422.716709	5844.614851	2812.658188	4160.788746	2215.498954	3011.082994	1382.009036	4401.458295	2296.460898	-115.5416325	4243.035163	489.6660767	-3753.369086	-2442.713568	6557.481065	8986.530309
Patient32	3660.491631	3850.32893	5952.483454	6990.960814	3038.689065	6227.069756	2020.548849	6383.110955	6539.970357	5612.308157	4422.964712	5573.54328	2092.074066	1372.573535	6019.187307	1567.778416	7462.43277	4246.73514	3758.472778	2994.12799	1120.97785	3143.779279	3851.43655	7292.11188	5502.040047	7177.456416	6496.982524	8602.02316	6126.46244	4757.742991	617.8044389	1756.622523	4235.868838	7551.144917	3905.514645	6434.025704	4078.044086	-2732.682723	3469.461051	6202.143773	4689.441605	4150.299099	2321.573334	3555.834593	1068.011792	3424.597332	2185.960505	-168.0816626	5956.598031	1416.292244	-4540.305787	-1719.789129	4013.901009	6981.862603
Patient33	4490.827207	4371.375493	5620.305693	6660.49548	2699.799726	6516.128495	5361.939038	5570.260349	4796.166817	6035.78572	3558.221509	6832.831923	2398.217472	2222.986756	5727.90004	2633.135446	7447.506771	6959.187871	6748.709136	3535.139925	833.8373999	2887.112658	5459.917298	6904.329602	5536.48104	6757.985618	4341.953027	7883.990249	4948.0925	6444.101082	3079.052371	3529.583103	5029.926629	7393.277392	3118.251203	7093.009061	4396.716011	-2916.852063	3886.353367	6803.20543	5042.320115	4277.190137	2728.48981	4672.194547	1612.683306	4313.950654	5318.900328	-1496.522359	7514.775435	3049.239919	-4465.535516	-3112.99225	8800.58864	9176.747992
Patient34	3282.292134	5131.508208	5398.865051	6413.89231	2943.922638	6587.315207	2311.84034	5891.239583	4770.346976	5585.895788	4747.010735	7148.205498	3279.9	2794.848645	5649.107786	8394.061985	7380.077823	5031.029989	4667.957118	4639.412169	1188.860344	3248.235305	3900.078688	6907.373156	5634.433552	6653.053341	3996.541338	8293.759545	5195.88482	6310.753647	760.5807702	3367.812524	5554.798718	8390.85683	4010.623753	7466.012061	4628.384753	-2149.544221	4852.210519	7001.754739	4308.165828	4654.788831	2389.353473	3590.972855	1387.242369	4400.395597	2239.34307	-358.0263583	3958.46079	1867.041283	-2091.419508	-1937.272702	5068.451694	8442.597497
